x,y,value
112,2,0.50996264
113,2,0.516811955
114,2,0.417185554
115,2,0.221668742
116,2,0.316936488
117,2,0.009339975
118,2,0.201120797
119,2,0.125778331
120,2,0.00747198
121,2,0
122,2,0.122042341
123,2,0.084059776
124,2,0.069738481
125,2,0.00871731
126,2,0.02366127
127,2,0.090909091
128,2,0.207347447
129,2,0.210460772
130,2,0.059153176
131,2,0.138854296
132,2,0.047945205
133,2,0.285803238
134,2,0.077210461
135,2,0.173723537
136,2,0.173723537
137,2,0.109589041
138,2,0.183686177
139,2,0.068493151
140,2,0.0373599
141,2,0.191780822
142,2,0.081569116
143,2,0.04483188
144,2,0.109589041
145,2,0.057907846
146,2,0.084059776
147,2,0.054171856
148,2,0
149,2,0.01992528
150,2,0.00871731
151,2,0.0373599
152,2,0.00622665
153,2,0.025529265
154,2,0.04732254
155,2,0.0249066
156,2,0.062889166
157,2,0.208592777
158,2,0.239103362
159,2,0.016811955
160,2,0.03486924
161,2,0.019302615
162,2,0.01618929
163,2,0.01867995
164,2,0.067870486
165,2,0.289539228
166,2,0.085305106
167,2,0.194271482
168,2,0.008094645
169,2,0.173100872
170,2,0.180572852
171,2,0.233499377
172,2,0.071606476
173,2,0.114570361
174,2,0
175,2,0.001867995
176,2,0
177,2,0.044209215
178,2,0.046699875
179,2,0.03362391
180,2,0.00124533
181,2,0.011830635
182,2,0.054794521
183,2,0.090909091
184,2,0.024283935
185,2,0.060398506
186,2,0.097758406
187,2,0
188,2,0.078455791
189,2,0.036737235
190,2,0.100249066
191,2,0.030510585
192,2,0.03860523
193,2,0.015566625
194,2,0
0,3,0.58739255
1,3,0.286532951
2,3,0.312320917
3,3,0.280802292
4,3,0.275071633
5,3,0.312320917
6,3,0.329512894
7,3,0.226361032
8,3,0.297994269
9,3,0.332378223
10,3,0.297994269
11,3,0.260744986
12,3,0.203438395
13,3,0.340974212
14,3,0.171919771
15,3,0.320916905
16,3,0.315186246
17,3,0.495702006
18,3,0.197707736
19,3,0.550143266
20,3,0.392550143
21,3,0.252148997
22,3,0.194842407
23,3,0.163323782
24,3,0.240687679
25,3,0.229226361
26,3,0.255014327
27,3,0.421203438
28,3,0.498567335
29,3,0.329512894
30,3,0.395415473
31,3,0.489971347
32,3,0.518624642
33,3,0.29512894
34,3,0.323782235
35,3,0.464183381
36,3,0.232091691
37,3,0.280802292
38,3,0.366762178
39,3,0.255014327
40,3,0.418338109
41,3,0.286532951
42,3,0.134670487
43,3,0.283667622
44,3,0.277936963
45,3,0.432664756
46,3,0.163323782
47,3,0.246418338
48,3,0.35243553
49,3,0.280802292
50,3,0.17765043
51,3,0.435530086
52,3,0.23782235
53,3,0.770773639
54,3,0.604584527
55,3,0.263610315
56,3,0.277936963
57,3,0.217765043
58,3,0.217765043
